,WRP
0,0.012796011496060855
1,0.05523842859347383
2,-0.06467328665403249
3,-0.12195197318349194
4,0.006865079265154284
5,0.027893674975967675
6,0.017200163288871195
7,-0.10140736782206411
8,0.1475510275161851
9,-0.19482758620689658
10,0.07269191039923861
11,-0.04445395521699247
12,0.04096932605275172
13,-0.015434341919967787
14,-0.015606258626114533
15,0.10661700017129955
16,-0.03721940253625511
17,0.09520959637994802
18,-0.1035405690200211
19,0.06495639389632635
20,0.07762420878398912
21,0.12464150010277503
22,0.013888888888888895
23,0.02421151118543574
24,-0.035931489218779644
25,0.09471443511522154
26,-0.04737587976427138
27,0.04312112995947198
28,0.10034660672395712
29,0.01242692845849458
30,0.10128495842781554
31,-0.025222557317074346
32,-0.023149407305552316
33,0.050885708763856397
34,-0.08563013034797551
35,0.06454180325695835
36,-0.0064323221910674855
37,-0.035891360097640324
38,
39,0.016742106857520145
40,-0.0031579178678960984
41,0.0237499427751518
42,
43,0.04464824685263741
44,0.03440714573742609
45,
46,-0.01713585788941341
47,0.05375359003163477
48,0.0198276508024936
49,0.16666666666666669
50,0.04534390023420504
51,
52,0.001823995237112852
53,-0.06687311468458429
54,-0.04205962361060245
55,0.09559025253032655
56,-0.0013480072133100762
57,0.06875018683349465
58,-0.005156119555668859
59,0.17242444637470566
60,0.08750000000000002
61,
62,-0.009991881354496024
63,0.07408782365075484
64,0.041339165225083296
65,-0.09317513907436237
66,0.008002324527287441
67,
68,0.08666176458256009
69,0.03846722241194367
70,
71,0.04493936226918466
72,0.06321720412512727
73,0.04312831396606909
74,
75,-0.08186011018214195
76,0.003721488620601565
77,-0.08496778048826376
78,
79,0.018580176339401566
80,0.06147666726769052
81,
82,
83,-0.008372903526064679
84,0.05397648610747424
85,-0.01642434242092189
86,0.028663683904861237
87,0.016822891843461196
88,-0.0031904822854598724
89,0.003385403081827776
90,0.02036255990574637
91,0.0442942281543266
92,
93,0.0034136885245554804
94,-0.03806572574779904
95,0.09605146406388643
96,0.028497635543837774
97,-0.05654042948674892
98,-0.04000177341262001
99,-0.01555436145170258
100,-0.014814814814814836
101,-0.014517512502459362
102,
103,
104,-0.04193675632458399
105,
106,
107,-0.05234473470475037
108,-0.01662189485595833
109,0.08112189859762675
110,-0.05181521376601983
111,-0.04042037843958185
112,-0.017949729508780987
113,-0.04952767102464756
114,0.1004707580351793
115,-0.09087531964890455
116,0.08063230548117817
117,
118,0.002013586506180609
119,-0.03253976499329714
120,
121,0.03561523328512012
122,
123,0.04974817915137969
124,-0.01275917065390747
125,0.012167955352955728
