,WRP
0,-0.022434897243032714
1,0.02350207206635413
2,0.08400950523304812
3,0.028336242114346433
4,0.00660972445344199
5,0.03700192097773958
6,-0.12072437877272302
7,-0.03422487474211611
8,0.038596065767348475
9,0.024205411421740097
10,0.07416333945980663
11,-0.0800651579683993
12,0.03324648276858322
13,-0.2378616752613658
14,0.06269309219126518
15,
16,0.026664152663618768
17,-0.036095338827842216
18,0.0006325110689436864
19,-0.13091473743647658
20,0.003852946408151814
21,0.01904431560950326
22,-0.013492662859585669
23,
24,-0.014449019530077323
25,0.031459685115276914
26,0.013579374944746536
27,0.04911232844239888
28,0.00577612196326055
29,-0.03736280558336408
30,0.04328905991176246
31,-0.12267760974657527
32,-0.06316653145834589
33,
34,0.15005096839959228
35,0.05683205683205683
36,0.07640402398559942
37,0.020921394285880246
38,
39,0.04009431894870996
40,
41,
42,
43,-0.027502805836139177
44,-0.05631440368224733
45,-0.14672531769305963
46,
47,-0.07094466758430018
48,-0.006866972241532321
49,0.01452896412619109
50,0.08548766997187912
51,0.07786950790894465
52,-0.013958125623130646
53,
54,0.017092399250322132
55,0.06992969860512155
56,0.17446666618199502
57,0.13339186288844918
58,0.004622483660629617
59,-0.046510722727638176
60,0.06661470968723576
61,0.06977594292820943
62,-0.03803325650869249
63,0.04103855996593708
64,
65,-0.011700416835222216
66,-0.08156277006757673
67,0.016289267117704953
68,0.10329485631925261
69,0.04345558634917529
70,0.02411665141553082
71,-0.08783783783783783
72,-0.03795489776334249
73,-0.016280967468164986
74,0.025644037271944198
75,-0.014771007027395977
76,-0.02471116816431318
77,
78,-0.07785586292573915
79,0.10317460317460314
80,-0.06871135054012495
81,-0.032107893174048996
82,-0.008208955223880599
83,
84,0.08368404412520791
85,0.013033464685742124
86,-0.020315065126721543
87,-0.006499246220885935
88,0.10725814788994248
89,0.01279123171182417
90,0.07933197350449833
91,-0.022105244653010503
92,0.018122785316960155
93,-0.07640402398559942
94,0.020378681813627897
95,0.03969516170598153
96,0.09592381398707056
97,-0.023876561766576543
98,0.025036837663146128
99,-0.018658517622246296
100,0.03508403361344539
101,-0.002306647135772555
102,
103,
104,-0.01763208765803642
105,0.03150283212293037
106,0.0630424742704675
107,
108,-0.017862900488898104
109,0.03213850783804301
110,-0.04175999819578652
111,0.13443630745335716
112,-0.038596065767348475
113,-0.017357238571573397
114,0.06681535826411605
115,0.09727472461288894
116,-0.006848487668423164
117,0.05291408678293308
118,-0.0802421564095887
119,0.019560233777706493
120,-0.04708118189607696
121,0.06502881600135607
122,0.0091016634918753
123,
124,0.033247933342415215
125,
126,-0.03683583726801637
127,-0.11619988770353734
128,0.2931714216925485
129,0.02967909703613919
130,0.020086083213773365
131,-0.040074206390938893
132,-0.06764587180572257
133,-0.020303388878506856
134,
135,
136,-0.009114272803774248
137,0.004081632653061218
138,-0.023735054160338886
139,0.061764705882352944
140,0.10941034697103857
141,
142,0.03813021872124728
143,0.11453842124350244
144,-0.030033913723027383
145,
146,0.016633788057748844
147,0.018397418779601438
148,0.04263711334237291
149,
150,-0.06884999419333804
151,0.14832134292565946
152,-0.016538245986547018
153,
154,0.12241691432228075
155,-0.029555638404044626
156,0.08861068702290073
157,
158,
159,-0.03149711879397471
160,-0.005629851615403247
161,
162,
163,0.03371556270102083
164,0.05755359923657677
165,0.0006377551020408379
166,0.073128120422701
167,0.1426071368487318
168,0.04370716443808359
169,0.019453072827977647
170,0.1000810768698207
171,0.04271744825923657
172,-0.03390514789516902
173,0.07570133655679112
174,-0.044828274665827006
175,-0.04803988071037607
176,0.054850359624596445
177,0.06764967975887787
178,0.02056317140586167
179,0.12704223667475079
180,0.06421915214613466
181,-0.04607977126097795
182,0.015114861059256857
183,0.10789915966386554
184,-0.005513239554655991
185,0.11593234265228769
186,-0.007630367908518398
187,-0.04861424628162042
188,-0.038398321684886494
189,
190,
191,-0.025217803372169223
192,-0.027106227106227065
193,0.0630729195147473
194,
195,0.04220011471098428
196,0.08575152325242191
197,-0.1119047619047619
198,0.07836316098163959
199,
200,-0.154220260735751
201,-0.0004978561167117146
202,
203,
204,-0.12770562770562766
