,tourney_id,tourney_name,round,winner_id,winner_name,loser_id,loser_name,winner_rank,winner_rank_points,loser_rank,loser_rank_points,w_ace,l_ace,w_df,l_df,w_svpt,w_1stWon,w_1stIn,l_svpt,l_1stWon,l_1stIn,w_2ndWon,l_2ndWon,w_ret_w,w_ret_tot,l_ret_w,l_ret_tot,WRP,WRP2
0,2017-M020,Brisbane,F,105777,Grigor Dimitrov,105453,Kei Nishikori,17.0,2035.0,5.0,4905.0,7.0,4.0,2.0,0.0,77.0,41.0,52.0,69.0,36.0,49.0,12.0,9.0,24,69,24,77,0.012796011496060855,0.012796011496060855
1,2017-M020,Brisbane,SF,105777,Grigor Dimitrov,105683,Milos Raonic,17.0,2035.0,3.0,5450.0,4.0,4.0,1.0,3.0,58.0,27.0,36.0,61.0,24.0,28.0,18.0,16.0,21,61,13,58,0.05523842859347383,0.05523842859347383
2,2017-M020,Brisbane,SF,105453,Kei Nishikori,104527,Stanislas Wawrinka,5.0,4905.0,4.0,5315.0,1.0,9.0,1.0,2.0,77.0,37.0,56.0,61.0,27.0,37.0,14.0,10.0,24,61,26,77,-0.06467328665403249,-0.06467328665403249
3,2017-M020,Brisbane,QF,105683,Milos Raonic,104745,Rafael Nadal,3.0,5450.0,9.0,3300.0,23.0,4.0,3.0,0.0,97.0,50.0,62.0,84.0,39.0,61.0,16.0,14.0,31,84,31,97,-0.12195197318349194,-0.12195197318349194
4,2017-M020,Brisbane,QF,105777,Grigor Dimitrov,106233,Dominic Thiem,17.0,2035.0,8.0,3415.0,3.0,6.0,3.0,5.0,94.0,42.0,52.0,82.0,29.0,37.0,23.0,24.0,29,82,29,94,0.006865079265154284,0.006865079265154284
5,2017-M020,Brisbane,QF,105453,Kei Nishikori,111442,Jordan Thompson,5.0,4905.0,79.0,689.0,3.0,1.0,0.0,2.0,34.0,18.0,19.0,47.0,15.0,28.0,10.0,5.0,27,47,6,34,0.027893674975967675,0.027893674975967675
6,2017-M020,Brisbane,QF,104527,Stanislas Wawrinka,106378,Kyle Edmund,4.0,5315.0,45.0,1001.0,11.0,2.0,3.0,2.0,119.0,47.0,67.0,97.0,52.0,65.0,28.0,11.0,34,97,44,119,0.017200163288871195,0.017200163288871195
7,2017-M020,Brisbane,R16,105683,Milos Raonic,106043,Diego Sebastian Schwartzman,3.0,5450.0,52.0,864.0,12.0,0.0,1.0,1.0,53.0,30.0,40.0,44.0,17.0,29.0,7.0,6.0,21,44,16,53,-0.10140736782206411,-0.10140736782206411
8,2017-M020,Brisbane,R16,104745,Rafael Nadal,104999,Mischa Zverev,9.0,3300.0,51.0,874.0,1.0,2.0,2.0,2.0,38.0,15.0,18.0,38.0,13.0,25.0,15.0,3.0,22,38,8,38,0.1475510275161851,0.1475510275161851
9,2017-M020,Brisbane,R16,106233,Dominic Thiem,105032,Samuel Groth,8.0,3415.0,180.0,320.0,11.0,11.0,1.0,1.0,65.0,36.0,44.0,58.0,34.0,35.0,15.0,9.0,15,58,14,65,-0.19482758620689658,-0.19482758620689658
10,2017-M020,Brisbane,R16,105777,Grigor Dimitrov,103917,Nicolas Mahut,17.0,2035.0,39.0,1102.0,8.0,4.0,0.0,3.0,46.0,25.0,27.0,52.0,27.0,37.0,12.0,4.0,21,52,9,46,0.07269191039923861,0.07269191039923861
11,2017-M020,Brisbane,R16,111442,Jordan Thompson,103970,David Ferrer,79.0,689.0,21.0,1785.0,5.0,2.0,2.0,4.0,103.0,49.0,65.0,103.0,42.0,64.0,18.0,23.0,38,103,36,103,-0.04445395521699247,-0.04445395521699247
