,RANK,POINTS,FS,W1SP,W2SP,WSP,WRP,TPW,TMW,ACES,DF,BP,COMPLETE,SERVEADV,winner,player1,player2
0,-5.0,101.0,-0.0514281459548982,0.16159879187325066,0.02202678857090612,0.09844968526317954,0.026689704290735472,0.060639542441180305,-1.0,0.15083541245625648,0.10030554483879293,0.14880952380952384,0.04801551733371537,0.12513938955391501,1,Ryan Harrison,Leonardo Mayer
1,-40.0,297.0,-0.06679732911210756,0.07926969424807018,0.0252655837742346,0.043219952130311934,0.03029006657861444,-0.0021484114178577096,-1.0,0.07651003000248896,0.03508705385292088,0.030251592996691057,0.030037140847972987,0.07351001870892637,1,Jared Donaldson,Jordan Thompson
2,-33.0,582.0,-0.0007860193987029307,-0.062417001508859205,-0.019473225654325965,-0.05086332037920427,0.07907479792280725,-0.033555893671335824,1.0,-0.2607677453451741,0.015560187829115293,-0.20565994880687855,0.02654255892977131,0.02821147754360298,0,Damir Dzumhur,Denis Istomin
3,-164.0,810.0,-0.05233010076050182,0.01712938108941131,-0.05579815953516776,-0.022380134130119633,-0.04374439841327449,-0.021041388518024062,1.0,0.0649555201626948,0.005133088392265256,0.23354978354978345,-0.032722536745369846,-0.06612453254339412,0,Steve Johnson,Alex De Minaur
4,-107.0,456.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0,Federico Delbonis,Michael Mmoh
5,-185.0,1067.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,1,Mischa Zverev,John Patrick Smith
6,-12.0,444.0,0.04839692236178472,-0.07090056471631623,0.010363713963681964,-0.03012087772607175,0.08865125598427387,0.03282662609489928,1.0,-0.2076008474373477,-0.036960660966541894,-0.09526667115952825,0.042676213884992015,0.05853037825820212,0,Diego Sebastian Schwartzman,Alexandr Dolgopolov
7,-54.0,270.0,0.186276548686112,-0.06386653493726646,0.0167196009009426,-0.007590489476914208,0.01995180976811456,0.008303987541113167,-1.0,-0.06734239307521217,0.034538689843738944,-0.016666666666666663,0.01960192076736858,0.01236132029120035,1,Horacio Zeballos,Ernesto Escobedo
8,-3.0,8.0,0.09316153974389096,-0.04149863260336706,0.05148654882399911,0.020236424695150856,-0.009324746917282856,0.0,-1.0,-0.08920153920153925,-0.10467372134038802,-0.07407407407407401,-0.0050772718672169315,0.010911677777868,1,Matthew Ebden,Francis Tiafoe
9,-33.0,851.0,-0.004725151292519714,0.07962267661458433,-0.01496409984055358,0.0311283167416041,-0.08460060197851282,-0.04036669675668958,1.0,0.35028290773960874,0.007354507805462346,0.07933843303161481,-0.04584403845460697,-0.05347228523690872,0,Gilles Muller,Hyeon Chung
10,-1.0,11.0,-0.04164617908873569,-0.029480360510958814,0.0003590930886848698,-0.027087224486919914,0.0025890626863510624,-9.949384550211882e-05,-1.0,-0.10944642168592694,-0.06020861426596058,0.05786435786435773,-0.0073877677430381206,-0.02449816180056885,1,Kyle Edmund,Denis Shapovalov
11,-9.0,32.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,1,John Millman,Peter Polansky
12,-72.0,511.0,-0.07291734803462502,0.10823026180169038,-0.04805632963527695,0.029758370602192108,0.02732965087695466,0.0,-1.0,0.035566848610326884,0.16167733232950626,-0.33584656084656084,0.023712527732814404,0.05708802147914677,1,Ryan Harrison,Yannick Hanfmann
13,-9.0,81.0,-0.14133013011785733,-0.005432595864587886,0.06531177199736327,-0.012900961931820998,0.1224661047712069,0.006635257070452205,-1.0,0.07643455228981547,0.040708527742280606,0.042023809523809574,0.08073686805839114,0.1095651428393859,0,Jared Donaldson,Denis Istomin
14,-184.0,1550.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0,Milos Raonic,Alex De Minaur
